YEAR,ASPECT,SITE,PLOT,start,peak,end,length
2017,N,BH,BHN1,76,83,92,16
2017,N,BH,BHN3,83,92,123,40
2017,N,DP,DPN1,133,133,133,0
2017,N,DP,DPN2,123,142,150,27
2017,N,DP,DPN3,123,133,142,19
2017,N,TP,TPN1,123,133,150,27
2017,N,TP,TPN3,123,133,157,34
2017,N,TT,TTN1,110,118,123,13
2017,N,TT,TTN11,100,118,133,33
2017,N,TT,TTN12,100,118,123,23
2017,N,TT,TTN13,110,118,133,23
2017,N,TT,TTN2,110,118,123,13
2017,N,TT,TTN3,100,118,133,33
2017,S,DP,DPS2,118,123,123,5
2017,S,DP,DPS3,123,123,133,10
2017,S,TT,TTS1,100,110,123,23
2018,N,BH,BHN1,92,97,128,36
2018,N,BH,BHN2,85,85,85,0
2018,N,BH,BHN3,92,97,121,29
2018,N,DP,DPN1,121,121,121,0
2018,N,DP,DPN2,106,121,128,22
2018,N,DP,DPN3,106,106,128,22
2018,N,FR,FRN1,106,121,128,22
2018,N,FR,FRN2,106,121,128,22
2018,N,FR,FRN3,121,128,128,7
2018,N,TP,TPN1,121,128,128,7
2018,N,TP,TPN2,121,121,121,0
2018,N,TP,TPN3,106,121,128,22
2018,S,DP,DPS1,97,106,128,31
2018,S,DP,DPS2,97,106,121,24
2018,S,DP,DPS3,92,106,121,29
2018,S,FR,FRS1,106,106,121,15
2018,S,FR,FRS2,92,121,121,29
2018,S,FR,FRS3,97,121,121,24
2018,S,TP,TPS1,106,106,128,22
2018,S,TP,TPS2,106,106,121,15
2018,S,TP,TPS3,106,121,121,15
