"YEAR","ASPECT","SITE","PLOT","NAME","start","peak","end","length"
2015,"N","BH","BHN1","Dichelostemma capitatum",67,67,77,10
2015,"N","BH","BHN1","Erodium botrys",67,67,110,43
2015,"N","BH","BHN1","Erodium cicutarium",77,89,115,38
2015,"N","BH","BHN1","Eschscholzia californica",89,94,121,32
2015,"N","BH","BHN1","Lasthenia californica",67,67,67,0
2015,"N","BH","BHN1","Lasthenia gracilis",77,77,77,0
2015,"N","BH","BHN1","Lomatium utriculatum",115,121,121,6
2015,"N","BH","BHN1","Lupinus bicolor",77,77,82,5
2015,"N","BH","BHN1","Plagiobothrys tenellus",67,77,94,27
2015,"N","BH","BHN1","Silene gallica",128,128,128,0
2015,"N","BH","BHN1","Trifolium hirtum",89,103,121,32
2015,"N","BH","BHN1","Trifolium willdenovii",77,77,77,0
2015,"N","BH","BHN2","Erodium botrys",67,67,115,48
2015,"N","BH","BHN2","Erodium cicutarium",77,110,110,33
2015,"N","BH","BHN2","Eschscholzia californica",82,94,128,46
2015,"N","BH","BHN2","Lasthenia californica",67,67,67,0
2015,"N","BH","BHN2","Lupinus bicolor",67,82,82,15
2015,"N","BH","BHN2","Plagiobothrys tenellus",67,89,115,48
2015,"N","BH","BHN3","Dichelostemma capitatum",77,77,115,38
2015,"N","BH","BHN3","Erodium botrys",67,67,110,43
2015,"N","BH","BHN3","Erodium cicutarium",77,110,115,38
2015,"N","BH","BHN3","Eschscholzia californica",94,103,152,58
2015,"N","BH","BHN3","Lupinus bicolor",67,77,77,10
2015,"N","BH","BHN3","Plagiobothrys tenellus",67,77,89,22
2015,"N","DP","DPN1","Brodiaea elegans",152,152,152,0
2015,"N","DP","DPN1","Calochortus luteus",152,152,152,0
2015,"N","DP","DPN1","Castilleja attenuata",94,103,110,16
2015,"N","DP","DPN1","Clarkia purpurea",115,121,140,25
2015,"N","DP","DPN1","Dichelostemma capitatum",89,94,110,21
2015,"N","DP","DPN1","Erodium cicutarium",77,94,110,33
2015,"N","DP","DPN1","Leptosiphon jepsonii",89,103,115,26
2015,"N","DP","DPN1","Lomatium utriculatum",77,82,89,12
2015,"N","DP","DPN1","Lupinus bicolor",67,77,89,22
2015,"N","DP","DPN1","Trifolium willdenovii",82,89,103,21
2015,"N","DP","DPN2","Clarkia purpurea",115,121,128,13
2015,"N","DP","DPN2","Dichelostemma capitatum",82,94,103,21
2015,"N","DP","DPN2","Erodium cicutarium",103,103,110,7
2015,"N","DP","DPN2","Leptosiphon jepsonii",94,103,115,21
2015,"N","DP","DPN2","Lomatium utriculatum",77,89,94,17
2015,"N","DP","DPN2","Lupinus bicolor",77,77,82,5
2015,"N","DP","DPN2","Trifolium willdenovii",89,89,115,26
2015,"N","DP","DPN3","Brodiaea elegans",121,121,121,0
2015,"N","DP","DPN3","Calochortus luteus",89,89,89,0
2015,"N","DP","DPN3","Castilleja attenuata",94,94,94,0
2015,"N","DP","DPN3","Clarkia purpurea",115,121,140,25
2015,"N","DP","DPN3","Dichelostemma capitatum",82,103,103,21
2015,"N","DP","DPN3","Dichelostemma congestum",128,128,140,12
2015,"N","DP","DPN3","Erodium cicutarium",94,110,121,27
2015,"N","DP","DPN3","Leptosiphon jepsonii",94,103,121,27
2015,"N","DP","DPN3","Lupinus bicolor",77,77,82,5
2015,"N","DP","DPN3","Primula hendersonii",67,67,67,0
2015,"N","DP","DPN3","Trifolium angustifolium",128,128,128,0
2015,"N","DP","DPN3","Trifolium hirtum",94,94,94,0
2015,"N","DP","DPN3","Trifolium willdenovii",89,89,89,0
2015,"N","FR","FRN1","Erodium botrys",82,103,128,46
2015,"N","FR","FRN1","Erodium cicutarium",77,110,121,44
2015,"N","FR","FRN1","Lupinus bicolor",67,77,77,10
2015,"N","FR","FRN1","Plagiobothrys tenellus",77,89,115,38
2015,"N","FR","FRN1","Silene gallica",67,67,67,0
2015,"N","FR","FRN1","Trifolium angustifolium",103,103,103,0
2015,"N","FR","FRN1","Trifolium hirtum",103,115,121,18
2015,"N","FR","FRN2","Centaurea solstitialis",152,160,160,8
2015,"N","FR","FRN2","Erodium botrys",82,110,121,39
2015,"N","FR","FRN2","Erodium cicutarium",77,103,115,38
2015,"N","FR","FRN2","Lupinus bicolor",67,67,77,10
2015,"N","FR","FRN2","Plagiobothrys tenellus",67,77,94,27
2015,"N","FR","FRN2","Trifolium hirtum",94,115,121,27
2015,"N","FR","FRN3","Amsinckia menziesii",89,115,128,39
2015,"N","FR","FRN3","Carduus pycnocephalus",115,128,140,25
2015,"N","FR","FRN3","Erodium botrys",82,103,128,46
2015,"N","FR","FRN3","Erodium cicutarium",77,110,152,75
2015,"N","FR","FRN3","Lupinus bicolor",77,82,94,17
2015,"N","FR","FRN3","Trifolium hirtum",67,110,121,54
2015,"N","TP","TPN1","Achillea millefolium",94,115,140,46
2015,"N","TP","TPN1","Brodiaea elegans",160,160,160,0
2015,"N","TP","TPN1","Dichelostemma capitatum",89,89,103,14
2015,"N","TP","TPN1","Leptosiphon jepsonii",121,121,140,19
2015,"N","TP","TPN1","Lomatium utriculatum",89,89,94,5
2015,"N","TP","TPN1","Lupinus bicolor",67,77,128,61
2015,"N","TP","TPN1","Nemophila heterophylla",110,110,110,0
2015,"N","TP","TPN1","Ranunculus occidentalis",67,82,103,36
2015,"N","TP","TPN1","Trifolium angustifolium",140,140,140,0
2015,"N","TP","TPN1","Vicia sativa",77,82,82,5
2015,"N","TP","TPN2","Lomatium utriculatum",94,94,94,0
2015,"N","TP","TPN2","Lysimachia arvensis",128,128,128,0
2015,"N","TP","TPN2","Ranunculus occidentalis",67,77,103,36
2015,"N","TP","TPN2","Silene gallica",94,103,140,46
2015,"N","TP","TPN2","Trifolium angustifolium",140,140,140,0
2015,"N","TP","TPN2","Trifolium hirtum",103,103,103,0
2015,"N","TP","TPN3","Brodiaea elegans",160,160,160,0
2015,"N","TP","TPN3","Clarkia purpurea",115,115,115,0
2015,"N","TP","TPN3","Lysimachia arvensis",128,128,128,0
2015,"N","TP","TPN3","Microsteris gracilis",110,110,110,0
2015,"N","TP","TPN3","Trifolium angustifolium",140,140,140,0
2015,"N","TP","TPN3","Trifolium hirtum",110,115,121,11
2015,"N","TP","TPN3","Vicia sativa",77,77,77,0
2015,"S","BH","BHS1","Dichelostemma capitatum",67,67,82,15
2015,"S","BH","BHS1","Erodium botrys",67,103,121,54
2015,"S","BH","BHS1","Erodium cicutarium",67,67,67,0
2015,"S","BH","BHS1","Trifolium hirtum",115,115,115,0
2015,"S","BH","BHS2","Convolvulus arvensis",115,115,152,37
2015,"S","BH","BHS2","Erodium botrys",77,103,121,44
2015,"S","BH","BHS2","Erodium cicutarium",103,103,103,0
2015,"S","BH","BHS3","Convolvulus arvensis",115,128,152,37
2015,"S","BH","BHS3","Dichelostemma capitatum",67,67,77,10
2015,"S","BH","BHS3","Erodium botrys",77,89,115,38
2015,"S","BH","BHS3","Erodium cicutarium",67,67,110,43
2015,"S","DP","DPS1","Acmispon brachycarpus",82,82,82,0
2015,"S","DP","DPS1","Clarkia purpurea",115,115,115,0
2015,"S","DP","DPS1","Dichelostemma capitatum",67,77,82,15
2015,"S","DP","DPS1","Erodium botrys",67,67,121,54
2015,"S","DP","DPS1","Erodium cicutarium",67,67,121,54
2015,"S","DP","DPS1","Leptosiphon jepsonii",82,82,82,0
2015,"S","DP","DPS1","Trifolium hirtum",103,115,121,18
2015,"S","DP","DPS2","Dichelostemma capitatum",67,77,89,22
2015,"S","DP","DPS2","Erodium botrys",67,110,128,61
2015,"S","DP","DPS2","Erodium cicutarium",67,67,67,0
2015,"S","DP","DPS3","Acmispon brachycarpus",82,82,115,33
2015,"S","DP","DPS3","Dichelostemma capitatum",67,82,94,27
2015,"S","DP","DPS3","Erodium botrys",67,110,128,61
2015,"S","DP","DPS3","Erodium cicutarium",77,77,77,0
2015,"S","DP","DPS3","Lupinus bicolor",77,77,77,0
2015,"S","DP","DPS3","Trifolium hirtum",103,110,115,12
2015,"S","FR","FRS1","Brodiaea elegans",140,152,152,12
2015,"S","FR","FRS1","Erodium botrys",77,94,115,38
2015,"S","FR","FRS1","Erodium cicutarium",67,82,110,43
2015,"S","FR","FRS1","Lupinus bicolor",67,67,89,22
2015,"S","FR","FRS1","Trifolium hirtum",103,110,115,12
