SP_CODE,FAMILY,NAME,LIFESPAN,TYPE,NATIVE,PollinatorResource,BEE,BUTTERFLY,FLY,MOTHS,BEETLES,Notes
ACHMIL,Asteraceae,Achillea millefolium,P,F,Y,Y,Y,Y,N,N,Y,"beetles - observed, "
ACMBRA,Fabaceae,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N,"https://www.wildflower.org/plants/result.php?id_plant=LOHU2, http://xerces.org/pollinator-conservation/"
AGOGRA,Asteraceae,Agoseris grandiflora,P,F,Y,Y,Y,Y,N,N,Y,ANP XERCES
AIRCAR,Poaceae,Aira caryophyllea,A,G,N,N,N,N,N,N,N,
AMSINT,Boraginaceae,Amsinckia menziesii,A,F,Y,Y,Y,N,N,N,N,"bees- http://www.pollinator.org/PDFs/Calif.DrySteppe.rx2.pdf, https://www.wildflower.org/plants/result.php?id_plant=AMMEI2"
ANCFIL,Asteraceae,Ancistrocarphus filagineus,A,F,Y,N,N,N,N,N,N,
AVEBAR,Poaceae,Avena barbata,A,G,N,N,N,N,N,N,N,
BRA_SP,Brassicaceae,BRASSICACEAE SPECIES,A,F,NA,N,N,N,N,N,N,
BRADIS,Poaceae,Brachypodium distachyon,A,G,N,N,N,N,N,N,N,
BRIMAX,Poaceae,Briza maxima,A,G,N,N,N,N,N,N,N,
BROCAR,Poaceae,Bromus carinatus,P,G,Y,N,N,N,N,N,N,
BRODIA,Poaceae,Bromus diandrus,A,G,N,N,N,N,N,N,N,
BROELE,Poaceae,Brodiaea elegans,P,F,Y,Y,Y,N,N,N,N,ANP XERCES
BROHOR,Poaceae,Bromus hordeaceus,A,G,N,N,N,N,N,N,N,
BROMAD,Poaceae,Bromus madritensis,A,G,N,N,N,N,N,N,N,
CALCIL,Montiaceae,Calandrinia ciliata,A,F,Y,Y,Y,N,N,N,N,"bees, https://www.wildflower.org/plants/result.php?id_plant=CACI2"
CALCOL,Convolvulaceae,Calystegia collina,P,F,Y,Y,Y,N,N,Y,N,"BEES, WOLF et al. 2000 AJB http://www.amjbot.org/content/87/8/1138.full"
CALLUT,Liliaceae,Calochortus luteus,P,F,Y,Y,Y,Y,Y,N,Y,"Calochortus - Bees, butterflies, beetles http://www.pollinator.org/PDFs/Calif.DrySteppe.rx2.pdf"
CALVES,Liliaceae,Calochortus vestae,P,F,Y,Y,Y,Y,N,N,Y,"Calochortus - Bees, butterflies, beetles http://www.pollinator.org/PDFs/Calif.DrySteppe.rx2.pdf"
CARCAL,Brassicaceae,Cardamine californica,P,F,Y,Y,N,N,N,N,N,INSECT POLLINATED Orford et al 2016 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4996327/
